"","plot","id.2015A","area.2015A","date.2015A","year.2015A","hele_1.2015A","hele_2.2015A","hele_3.2015A","liatris1_num.2015A","liatris2_num.2015A","liatris3_num.2015A","survey_effort.2015A","hr.rise.2015A","obs_skill.2015A","doy.2015A","HOURLYWindSpeed.2015A","id.2015B","area.2015B","date.2015B","year.2015B","hele_1.2015B","hele_2.2015B","hele_3.2015B","liatris1_num.2015B","liatris2_num.2015B","liatris3_num.2015B","survey_effort.2015B","hr.rise.2015B","obs_skill.2015B","doy.2015B","HOURLYWindSpeed.2015B","id.2015C","area.2015C","date.2015C","year.2015C","hele_1.2015C","hele_2.2015C","hele_3.2015C","liatris1_num.2015C","liatris2_num.2015C","liatris3_num.2015C","survey_effort.2015C","hr.rise.2015C","obs_skill.2015C","doy.2015C","HOURLYWindSpeed.2015C","id.2015D","area.2015D","date.2015D","year.2015D","hele_1.2015D","hele_2.2015D","hele_3.2015D","liatris1_num.2015D","liatris2_num.2015D","liatris3_num.2015D","survey_effort.2015D","hr.rise.2015D","obs_skill.2015D","doy.2015D","HOURLYWindSpeed.2015D","id.2015E","area.2015E","date.2015E","year.2015E","hele_1.2015E","hele_2.2015E","hele_3.2015E","liatris1_num.2015E","liatris2_num.2015E","liatris3_num.2015E","survey_effort.2015E","hr.rise.2015E","obs_skill.2015E","doy.2015E","HOURLYWindSpeed.2015E","id.2016A","area.2016A","date.2016A","year.2016A","hele_1.2016A","hele_2.2016A","hele_3.2016A","liatris1_num.2016A","liatris2_num.2016A","liatris3_num.2016A","survey_effort.2016A","hr.rise.2016A","obs_skill.2016A","doy.2016A","HOURLYWindSpeed.2016A","id.2016B","area.2016B","date.2016B","year.2016B","hele_1.2016B","hele_2.2016B","hele_3.2016B","liatris1_num.2016B","liatris2_num.2016B","liatris3_num.2016B","survey_effort.2016B","hr.rise.2016B","obs_skill.2016B","doy.2016B","HOURLYWindSpeed.2016B","id.2016C","area.2016C","date.2016C","year.2016C","hele_1.2016C","hele_2.2016C","hele_3.2016C","liatris1_num.2016C","liatris2_num.2016C","liatris3_num.2016C","survey_effort.2016C","hr.rise.2016C","obs_skill.2016C","doy.2016C","HOURLYWindSpeed.2016C","avg_liatris"
"195",22,985,"SDSF",2015-08-17,2015,"0","0","0",3,3,0,30,9.71166162331899,1,228,5,1086,"SDSF",2015-08-21,2015,"1","0","0",3,10.5,3,60,5.96387101531029,0,232,11,1039,"SDSF",2015-08-25,2015,"0","0","0",10.5,10.5,0,30,10.3826743196117,1,236,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1219,"SDSF",2016-08-17,2016,"0","0","0",3,0,3,30,6.94630486375756,0,229,0,1259,"SDSF",2016-08-30,2016,"0","1","0",10.5,10.5,0,30,8.84923794892099,1,242,6,1202,"SDSF",2016-09-04,2016,"0","0","0",10.5,10.5,0,30,6.74799400998486,1,247,18,5.25877192982456
"199",23,1080,"SDSF",2015-08-13,2015,"0","0","0",0,0,0,60,7.95917731391059,0,224,9,1060,"SDSF",2015-09-02,2015,"0","0","0",0,0,0,30,10.8038087807761,1,244,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1220,"SDSF",2016-08-17,2016,"0","0","0",0,3,0,30,5.96297153042422,0,229,0,1190,"SDSF",2016-08-24,2016,"0","0","0",3,0,0,30,9.95426098326842,1,236,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10897435897436
"202",24,979,"SDSF",2015-08-12,2015,"0","0","0",0,3,0,60,10.7793145173788,1,223,17,1072,"SDSF",2015-08-17,2015,"0","0","0",0,0,0,60,8.02832828998566,0,228,7,1038,"SDSF",2015-08-25,2015,"0","0","0",20,0,0,30,9.46600765294499,1,236,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221,"SDSF",2016-08-26,2016,"0","0","0",0,20,0,30,6.09700894382265,0,238,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95512820512821
"206",25,978,"SDSF",2015-08-12,2015,"0","0","0",0,0,0,60,9.92931451737881,1,223,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1222,"SDSF",2016-08-23,2016,"0","0","0",0,0,0,30,9.14122552507454,0,235,14,1199,"SDSF",2016-09-03,2016,"0","0","0",0,0,0,30,8.38489959147241,1,246,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841666666666667
"208",26,1075,"SDSF",2015-08-17,2015,"0","0","0",0,0,0,60,9.54499495665232,0,228,5,1061,"SDSF",2015-09-16,2015,"0","0","0",0,0,0,30,6.35360801908705,1,258,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162,"SDSF",2016-08-17,2016,"0","0","0",0,0,0,30,8.37963819709089,1,229,3,1223,"SDSF",2016-08-30,2016,"0","0","0",0,0,0,60,6.31590461558766,1,242,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647435897435897
"212",27,1022,"SDSF",2015-08-15,2015,"0","0","0",10.5,0,3,30,9.26880320502652,1,226,13,1085,"SDSF",2015-08-21,2015,"0","1","0",0,10.5,3,60,5.33053768197695,0,232,11,997,"SDSF",2015-08-26,2015,"0","0","0",3,0,10.5,60,7.19571295539538,1,237,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1163,"SDSF",2016-08-17,2016,"0","0","0",10.5,10.5,10.5,30,7.02963819709089,1,229,0,1191,"SDSF",2016-08-30,2016,"0","0","0",0,20,3,30,7.88257128225433,1,242,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.46354166666667
"216",28,989,"SDSF",2015-08-20,2015,"0","0","0",0,0,0,30,9.15083193143209,1,231,13,1040,"SDSF",2015-08-26,2015,"0","0","0",0,0,0,30,6.06237962206205,1,237,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1224,"SDSF",2016-08-26,2016,"0","0","0",0,0,0,30,8.58034227715598,0,238,6,1266,"SDSF",2016-09-01,2016,"0","0","0",0,0,0,30,10.8253907480505,1,244,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647435897435897
"219",29,1043,"SDSF",2015-08-14,2015,"0","0","0",0,0,0,30,9.77233851095041,1,225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225,"SDSF",2016-08-24,2016,"0","0","0",0,0,0,30,7.02092764993509,0,236,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20238095238095
"222",30,1074,"SDSF",2015-08-17,2015,"0","0","0",0,0,0,60,8.67832828998566,0,228,8,1059,"SDSF",2015-09-02,2015,"0","0","0",0,0,0,30,10.2204754474428,1,244,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179,"SDSF",2016-08-22,2016,"0","0","0",0,0,0,30,9.4948582782348,1,234,21,1226,"SDSF",2016-08-25,2016,"0","0","0",0,0,0,30,7.3672994926903,0,237,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647435897435897
"225",31,981,"SDSF",2015-08-13,2015,"0","0","0",0,0,3,30,7.59251064724392,1,224,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1227,"SDSF",2016-08-17,2016,"0","0","0",0,0,0,30,7.96297153042422,0,229,5,1228,"SDSF",2016-09-01,2016,"0","0","0",0,0,0,30,9.24205741471715,0,244,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14166666666667
"227",32,1081,"SDSF",2015-08-13,2015,"0","0","0",0,0,0,60,7.22584398057726,0,224,9,990,"SDSF",2015-08-21,2015,"0","0","0",0,0,0,60,5.13053768197695,1,232,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,"SDSF",2016-08-24,2016,"0","0","0",0,0,0,30,8.50426098326842,1,236,15,1229,"SDSF",2016-08-30,2016,"0","0","0",0,0,0,30,9.21590461558766,0,242,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647435897435897
"231",33,999,"SDSF",2015-08-11,2015,"4","1","4",20,10.5,20,30,4.34941131532192,1,222,7,1076,"SDSF",2015-08-17,2015,"1","4","3",20,20,20,60,6.57832828998566,0,228,6,986,"SDSF",2015-08-20,2015,"2","2","4",20,10.5,20,30,5.90083193143209,1,231,14,1034,"SDSF",2015-08-25,2015,"6","4","3",20,20,20,30,4.88267431961166,1,236,13,1058,"SDSF",2015-09-02,2015,"0","1","0",20,20,20,30,8.2204754474428,1,244,9,1177,"SDSF",2016-08-22,2016,"1","0","2",10.5,3,10.5,30,5.81152494490147,1,234,16,1230,"SDSF",2016-08-30,2016,"0","0","0",0,3,0,60,5.16590461558766,1,242,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3825757575758
"239",34,988,"SDSF",2015-08-20,2015,"0","0","0",0,0,0,30,8.11749859809876,1,231,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1232,"SDSF",2016-08-22,2016,"0","0","0",0,0,0,30,8.2448582782348,0,234,18,1231,"SDSF",2016-08-25,2016,"0","0","0",0,0,0,30,8.18396615935696,0,237,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841666666666667
"241",35,1083,"SDSF",2015-08-13,2015,"0","0","0",0,0,0,60,7.64251064724392,0,224,9,1071,"SDSF",2015-08-25,2015,"0","0","0",0,0,0,30,7.01600765294499,0,236,17,1063,"SDSF",2015-09-15,2015,"0","0","0",0,0,0,30,7.42391217211882,1,257,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1233,"SDSF",2016-08-17,2016,"0","0","0",0,0,0,30,11.8129715304242,0,229,3,1234,"SDSF",2016-08-30,2016,"0","0","0",0,0,0,30,10.2325712822543,0,242,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526041666666667
"245",36,980,"SDSF",2015-08-12,2015,"0","0","0",0,0,0,60,11.8126478507121,1,223,14,1067,"SDSF",2015-08-25,2015,"0","0","0",0,0,0,30,7.73267431961166,0,236,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236,"SDSF",2016-08-22,2016,"0","0","0",0,0,0,30,8.97819161156813,0,234,18,1235,"SDSF",2016-08-25,2016,"0","0","0",0,0,0,30,8.7672994926903,0,237,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.647435897435897
"248",37,1082,"SDSF",2015-08-13,2015,"0","0","0",0,0,0,60,8.42584398057726,0,224,8,1068,"SDSF",2015-08-25,2015,"0","0","0",0,0,0,30,8.29934098627832,0,236,11,1064,"SDSF",2015-09-15,2015,"0","0","0",0,0,3,30,8.04057883878549,1,257,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237,"SDSF",2016-08-23,2016,"0","0","0",0,0,0,30,7.99122552507453,0,235,15,1238,"SDSF",2016-08-31,2016,"0","0","0",0,0,0,30,5.46231124016974,0,243,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.713541666666667
"252",38,1044,"SDSF",2015-08-14,2015,"0","0","0",0,3,0,30,11.2723385109504,1,225,6,1035,"SDSF",2015-08-25,2015,"0","0","0",0,10.5,0,30,6.19934098627832,1,236,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180,"SDSF",2016-08-22,2016,"0","0","0",0,0,0,30,10.6281916115681,1,234,21,1239,"SDSF",2016-09-01,2016,"0","0","0",0,3,0,30,7.82539074805048,0,244,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91666666666667
"255",39,1073,"SDSF",2015-08-17,2015,"0","0","0",20,10.5,0,60,7.42832828998566,0,228,7,1070,"SDSF",2015-08-25,2015,"0","0","0",20,10.5,20,30,9.88267431961166,0,236,13,1062,"SDSF",2015-09-15,2015,"0","0","0",0,0,0,30,6.62391217211882,1,257,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240,"SDSF",2016-08-17,2016,"0","0","0",3,0,20,30,10.6629715304242,0,229,0,1241,"SDSF",2016-08-31,2016,"0","0","0",0,3,20,30,9.74564457350307,0,243,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46354166666667
"259",40,1042,"SDSF",2015-08-14,2015,"0","0","0",0,0,3,30,6.88900517761707,1,225,6,1069,"SDSF",2015-08-25,2015,"0","0","0",3,20,20,30,9.44934098627832,0,236,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1242,"SDSF",2016-08-26,2016,"0","0","0",10.5,0,3,30,7.53034227715598,0,238,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.79166666666667
"262",41,987,"SDSF",2015-08-20,2015,"0","0","0",0,0,0,30,7.00083193143209,1,231,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1243,"SDSF",2016-08-23,2016,"0","0","0",0,0,0,30,10.0578921917412,0,235,14,1271,"SDSF",2016-09-02,2016,"0","0","0",3,0,0,30,8.2884759851959,1,245,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14166666666667
"264",42,1004,"SDSF",2015-08-11,2015,"1","0","1",3,0,3,30,9.91607798198859,1,222,6,991,"SDSF",2015-08-21,2015,"0","0","0",20,20,0,60,7.88053768197695,1,232,14,1031,"SDSF",2015-08-21,2015,"0","0","0",20,0,0,30,9.51387101531029,1,232,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244,"SDSF",2016-08-26,2016,"0","0","0",10.5,20,10.5,30,4.41367561048932,0,238,5,1245,"SDSF",2016-08-31,2016,"0","0","0",10.5,20,0,30,3.66231124016974,0,243,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.11979166666667
"268",43,1005,"SDSF",2015-08-11,2015,"0","0","0",3,0,0,30,9.54941131532192,1,222,6,1087,"SDSF",2015-08-21,2015,"0","0","0",20,0,10.5,60,8.08053768197695,0,232,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1246,"SDSF",2016-08-22,2016,"0","0","0",0,0,0,30,6.57819161156813,0,234,22,1270,"SDSF",2016-09-02,2016,"0","0","0",3,0,0,30,6.85514265186257,1,245,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45512820512821
"271",45,1015,"SDSF",2015-08-13,2015,"0","0","0",20,0,0,30,9.05917731391059,1,224,8,993,"SDSF",2015-08-25,2015,"0","1","0",3,10.5,0,60,5.43267431961165,1,236,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1168,"SDSF",2016-08-22,2016,"0","0","0",0,3,3,30,7.97819161156813,1,234,18,1194,"SDSF",2016-08-26,2016,"0","0","0",10.5,3,0,30,8.24700894382265,1,238,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72435897435897
"274",46,1055,"SDSF",2015-09-01,2015,"0","0","0",10.5,0,0,30,9.15739530444145,1,243,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1261,"SDSF",2016-08-30,2016,"0","0","0",0,0,0,30,11.699237948921,1,242,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.70238095238095
"278",47,1084,"SDSF",2015-08-13,2015,"0","0","0",0,0,0,60,9.75917731391059,0,224,6,1065,"SDSF",2015-09-15,2015,"0","0","0",0,0,0,30,8.99057883878549,1,257,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1247,"SDSF",2016-08-23,2016,"0","0","0",0,0,0,30,10.2745588584079,0,235,13,1248,"SDSF",2016-08-31,2016,"0","0","0",0,0,3,30,4.5789779068364,0,243,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.878205128205128
"282",48,968,"SDSF",2015-08-13,2015,"0","0","0",0,0,0,30,9.97584398057726,1,224,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1249,"SDSF",2016-08-22,2016,"0","0","0",0,0,10.5,30,11.4115249449015,0,234,15,1250,"SDSF",2016-08-30,2016,"0","0","0",0,0,0,30,12.1659046155877,0,242,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89166666666667
"284",49,1016,"SDSF",2015-08-13,2015,"3","0","1",20,0,3,30,10.4258439805773,1,224,5,1030,"SDSF",2015-08-21,2015,"3","0","2",20,0,10.5,30,8.19720434864362,1,232,15,1056,"SDSF",2015-09-01,2015,"0","0","0",20,3,20,30,10.1907286377748,1,243,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251,"SDSF",2016-08-23,2016,"0","0","0",20,0,3,30,6.4578921917412,0,235,16,1187,"SDSF",2016-08-24,2016,"1","0","0",20,10.5,3,30,5.88759431660175,1,236,13,1200,"SDSF",2016-09-03,2016,"0","0","0",3,3,3,30,9.13489959147241,1,246,20,8.96929824561403
"288",50,1021,"SDSF",2015-08-15,2015,"0","0","0",0,0,0,30,8.35213653835985,1,226,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1253,"SDSF",2016-08-23,2016,"0","0","0",3,3,0,30,6.39122552507454,0,235,16,1252,"SDSF",2016-08-24,2016,"0","0","0",10.5,0,0,30,9.57092764993509,0,236,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49166666666667
"290",51,1045,"SDSF",2015-08-14,2015,"0","0","0",0,3,0,30,12.6056718442837,1,225,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1254,"SDSF",2016-08-22,2016,"0","0","0",0,0,0,30,10.3448582782348,0,234,21,1255,"SDSF",2016-08-30,2016,"0","0","0",3,20,0,30,11.249237948921,0,242,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44166666666667
"292",52,1007,"SDSF",2015-08-12,2015,"0","0","0",0,0,0,30,8.14598118404547,1,223,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1188,"SDSF",2016-08-24,2016,"0","0","0",0,0,0,30,6.97092764993509,1,236,14,1265,"SDSF",2016-09-01,2016,"0","0","0",0,0,0,30,8.87539074805048,1,244,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841666666666667
"294",53,1009,"SDSF",2015-08-12,2015,"0","0","0",0,0,0,30,10.3126478507121,1,223,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178,"SDSF",2016-08-22,2016,"0","0","0",0,0,0,30,8.06152494490147,1,234,18,1264,"SDSF",2016-09-01,2016,"0","0","0",0,0,0,30,7.90872408138381,1,244,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841666666666667
"296",54,1006,"SDSF",2015-08-12,2015,"0","0","0",0,0,0,30,7.37931451737881,1,223,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1166,"SDSF",2016-08-17,2016,"0","0","0",0,0,0,30,12.6963048637576,1,229,5,1256,"SDSF",2016-08-23,2016,"0","0","0",0,0,0,30,5.44122552507454,0,235,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841666666666667
"298",55,1008,"SDSF",2015-08-12,2015,"6","0","0",20,0,3,30,9.16264785071214,1,223,11,1032,"SDSF",2015-08-24,2015,"1","0","0",20,20,3,30,7.85297239071793,1,235,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1174,"SDSF",2016-08-21,2016,"0","0","0",20,20,3,30,8.43182411087884,1,233,9,1195,"SDSF",2016-08-26,2016,"1","0","0",20,20,10.5,30,9.93034227715598,1,238,7,1196,"SDSF",2016-09-03,2016,"1","0","0",10.5,10.5,3,30,5.08489959147241,1,246,15,11.9947916666667
