"","plot","id.2015A","area.2015A","date.2015A","year.2015A","hele_1.2015A","hele_2.2015A","hele_3.2015A","liatris1_num.2015A","liatris2_num.2015A","liatris3_num.2015A","survey_effort.2015A","hr.rise.2015A","obs_skill.2015A","doy.2015A","HOURLYWindSpeed.2015A","id.2015B","area.2015B","date.2015B","year.2015B","hele_1.2015B","hele_2.2015B","hele_3.2015B","liatris1_num.2015B","liatris2_num.2015B","liatris3_num.2015B","survey_effort.2015B","hr.rise.2015B","obs_skill.2015B","doy.2015B","HOURLYWindSpeed.2015B","id.2015C","area.2015C","date.2015C","year.2015C","hele_1.2015C","hele_2.2015C","hele_3.2015C","liatris1_num.2015C","liatris2_num.2015C","liatris3_num.2015C","survey_effort.2015C","hr.rise.2015C","obs_skill.2015C","doy.2015C","HOURLYWindSpeed.2015C","id.2015D","area.2015D","date.2015D","year.2015D","hele_1.2015D","hele_2.2015D","hele_3.2015D","liatris1_num.2015D","liatris2_num.2015D","liatris3_num.2015D","survey_effort.2015D","hr.rise.2015D","obs_skill.2015D","doy.2015D","HOURLYWindSpeed.2015D","id.2015E","area.2015E","date.2015E","year.2015E","hele_1.2015E","hele_2.2015E","hele_3.2015E","liatris1_num.2015E","liatris2_num.2015E","liatris3_num.2015E","survey_effort.2015E","hr.rise.2015E","obs_skill.2015E","doy.2015E","HOURLYWindSpeed.2015E","id.2016A","area.2016A","date.2016A","year.2016A","hele_1.2016A","hele_2.2016A","hele_3.2016A","liatris1_num.2016A","liatris2_num.2016A","liatris3_num.2016A","survey_effort.2016A","hr.rise.2016A","obs_skill.2016A","doy.2016A","HOURLYWindSpeed.2016A","id.2016B","area.2016B","date.2016B","year.2016B","hele_1.2016B","hele_2.2016B","hele_3.2016B","liatris1_num.2016B","liatris2_num.2016B","liatris3_num.2016B","survey_effort.2016B","hr.rise.2016B","obs_skill.2016B","doy.2016B","HOURLYWindSpeed.2016B","id.2016C","area.2016C","date.2016C","year.2016C","hele_1.2016C","hele_2.2016C","hele_3.2016C","liatris1_num.2016C","liatris2_num.2016C","liatris3_num.2016C","survey_effort.2016C","hr.rise.2016C","obs_skill.2016C","doy.2016C","HOURLYWindSpeed.2016C","avg_liatris"
"166",12,1024,"SNWR",2015-08-17,2015,"0","0","0",20,20,20,30,7.51166162331899,1,228,7,1037,"SNWR",2015-08-25,2015,"0","0","0",20,20,3,30,8.48267431961166,1,236,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1176,"SNWR",2016-08-22,2016,"0","0","0",20,20,20,30,4.86152494490147,1,234,20,1213,"SNWR",2016-09-01,2016,"0","0","0",0,0,0,30,4.64205741471714,0,244,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1858974358974
"169",13,1000,"SNWR",2015-08-11,2015,"0","0","0",20,0,10.5,30,5.33274464865526,1,222,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184,"SNWR",2016-08-23,2016,"0","0","0",10.5,0,10.5,30,10.8412255250745,1,235,13,1214,"SNWR",2016-08-25,2016,"0","0","0",3,20,0,30,5.23396615935696,0,237,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.29166666666667
"171",14,1012,"SNWR",2015-08-13,2015,"0","0","0",0,3,0,30,5.02584398057726,1,224,9,1051,"SNWR",2015-08-21,2015,"0","0","0",0,0,10.5,30,7.01387101531029,1,232,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1182,"SNWR",2016-08-23,2016,"0","0","0",0,0,3,30,7.97455885840787,1,235,15,1272,"SNWR",2016-09-02,2016,"0","0","0",3,0,0,30,9.72180931852924,1,245,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1474358974359
"174",15,1046,"SNWR",2015-08-17,2015,"0","0","0",0,0,0,30,5.82832828998566,1,228,8,1050,"SNWR",2015-08-21,2015,"0","0","0",0,0,0,30,5.76387101531029,1,232,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1273,"SNWR",2016-09-02,2016,"0","0","0",0,0,0,30,10.8884759851959,1,245,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841666666666667
"180",16,1047,"SNWR",2015-08-17,2015,"0","0","0",0,0,0,30,7.14499495665232,1,228,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1215,"SNWR",2016-08-23,2016,"0","0","0",0,0,0,60,11.3912255250745,0,235,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20238095238095
"182",17,1025,"SNWR",2015-08-17,2015,"0","0","0",0,0,0,30,8.84499495665232,1,228,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1192,"SNWR",2016-08-26,2016,"0","0","0",0,0,0,30,5.48034227715598,1,238,7,1263,"SNWR",2016-09-01,2016,"0","0","0",0,0,0,30,6.07539074805048,1,244,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841666666666667
"184",18,1026,"SNWR",2015-08-17,2015,"0","0","0",0,0,0,30,10.2949949566523,1,228,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193,"SNWR",2016-08-26,2016,"0","0","0",0,0,0,30,6.71367561048932,1,238,6,1201,"SNWR",2016-09-04,2016,"0","0","0",0,0,0,30,5.16466067665153,1,247,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.841666666666667
"186",19,1014,"SNWR",2015-08-13,2015,"0","0","0",20,0,0,30,7.74251064724392,1,224,9,1041,"SNWR",2015-08-26,2015,"0","0","0",20,3,0,30,9.49571295539538,1,237,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1262,"SNWR",2016-09-01,2016,"0","0","0",20,20,0,30,4.85872408138381,1,244,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.14166666666667
"190",20,1079,"SNWR",2015-08-13,2015,"0","0","0",10.5,0,0,60,9.95917731391059,0,224,6,1066,"SNWR",2015-09-15,2015,"0","0","0",0,0,0,30,9.67391217211882,1,257,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1216,"SNWR",2016-08-22,2016,"0","0","0",3,0,0,30,5.52819161156813,0,234,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19166666666667
"193",21,1018,"SDSF",2015-08-15,2015,"0","0","0",3,0,0,30,4.58546987169319,1,226,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1218,"SDSF",2016-08-17,2016,"0","0","0",0,0,0,30,9.69630486375756,0,229,3,1217,"SDSF",2016-08-25,2016,"0","0","0",0,0,10.5,30,6.05063282602363,0,237,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19166666666667
