"","plot","cipa_1.2014A","cipa_2.2014A","cipa_3.2014A","cipa_1.2014B","cipa_2.2014B","cipa_3.2014B","cipa_1.2015A","cipa_2.2015A","cipa_3.2015A","cipa_1.2015B","cipa_2.2015B","cipa_3.2015B","cipa_1.2015C","cipa_2.2015C","cipa_3.2015C","cipa_1.2015D","cipa_2.2015D","cipa_3.2015D","cipa_1.2015E","cipa_2.2015E","cipa_3.2015E","cipa_1.2015F","cipa_2.2015F","cipa_3.2015F","cipa_1.2016A","cipa_2.2016A","cipa_3.2016A","cipa_1.2016B","cipa_2.2016B","cipa_3.2016B","cipa_1.2016C","cipa_2.2016C","cipa_3.2016C","cipa_1.2016D","cipa_2.2016D","cipa_3.2016D"
"65",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"67",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"69",34,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"71",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"73",36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"75",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"77",38,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,1,0,1,1,NA,NA,NA
"79",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
"81",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"83",41,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA
