"","plot","cipa_1.2014A","cipa_2.2014A","cipa_3.2014A","cipa_1.2014B","cipa_2.2014B","cipa_3.2014B","cipa_1.2015A","cipa_2.2015A","cipa_3.2015A","cipa_1.2015B","cipa_2.2015B","cipa_3.2015B","cipa_1.2015C","cipa_2.2015C","cipa_3.2015C","cipa_1.2016A","cipa_2.2016A","cipa_3.2016A","cipa_1.2016B","cipa_2.2016B","cipa_3.2016B","cipa_1.2016C","cipa_2.2016C","cipa_3.2016C","obs_skill.2014A","obs_skill.2014B","obs_skill.2015A","obs_skill.2015B","obs_skill.2015C","obs_skill.2016A","obs_skill.2016B","obs_skill.2016C","doy.2014A","doy.2014B","doy.2015A","doy.2015B","doy.2015C","doy.2016A","doy.2016B","doy.2016C","hr.rise.2014A","hr.rise.2014B","hr.rise.2015A","hr.rise.2015B","hr.rise.2015C","hr.rise.2016A","hr.rise.2016B","hr.rise.2016C","HOURLYDRYBULBTEMPC.2014A","HOURLYDRYBULBTEMPC.2014B","HOURLYDRYBULBTEMPC.2015A","HOURLYDRYBULBTEMPC.2015B","HOURLYDRYBULBTEMPC.2015C","HOURLYDRYBULBTEMPC.2016A","HOURLYDRYBULBTEMPC.2016B","HOURLYDRYBULBTEMPC.2016C","HOURLYWindSpeed.2014A","HOURLYWindSpeed.2014B","HOURLYWindSpeed.2015A","HOURLYWindSpeed.2015B","HOURLYWindSpeed.2015C","HOURLYWindSpeed.2016A","HOURLYWindSpeed.2016B","HOURLYWindSpeed.2016C","surv_ct14","surv_ct15","surv_ct16"
"25",12,"0","4","3","0","0","0","0","0","0","0","0","0","4","0","3","0","3","1","0","1","0","0","0","0",1,1,1,1,1,1,1,0,154,236,158,175,228,141,234,244,5.53725063621998,12.3444271609518,7.61044551253319,8.93434660891692,7.51166162331899,6.03052528070079,4.86152494490147,4.64205741471714,23.9,22.2,24.4,25.6,23.3,23.9,22.8,20.6,7,14,8,7,7,9,20,7,6,9,9
"27",13,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0",1,1,1,1,NA,1,1,0,154,259,132,222,NA,158,235,237,4.88725063621998,5.94500418199433,7.22345072872109,5.33274464865526,NA,12.1258378371265,10.8412255250745,5.23396615935696,23.3,22.2,13.9,24.4,NA,21.7,26.7,19.4,7,0,18,8,NA,13,13,17,6,6,9
"29",14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",1,1,1,1,1,1,1,1,190,250,165,224,232,158,235,245,11.3987686183055,10.5941272527642,13.4624533257882,5.02584398057726,7.01387101531029,11.3591711704599,7.97455885840787,9.72180931852924,28.9,23.9,22.8,25,22.8,21.1,27.8,22.8,9,13,11,9,13,8,15,17,6,9,9
"31",15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,1,1,1,1,1,1,1,NA,190,231,151,228,232,139,245,NA,10.5487686183055,6.09592450108793,11.4264264062378,5.82832828998566,5.76387101531029,9.89819461213218,10.8884759851959,NA,28.9,25.6,20.6,22.2,21.7,22.8,21.7,NA,10,9,7,8,11,15,16,NA,6,9,6
"33",16,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0",NA,NA,NA,NA,NA,NA,1,1,1,1,NA,0,NA,NA,190,267,168,228,NA,235,NA,NA,7.88210195163886,9.38132725159327,7.7439908557468,7.14499495665232,NA,11.3912255250745,NA,NA,27.8,26.7,21.7,21.7,NA,26.1,NA,NA,6,10,7,6,NA,17,NA,NA,6,6,3
"35",17,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0",1,1,1,1,NA,1,1,1,154,266,166,228,NA,174,238,244,10.4705839695533,8.35191473464171,7.07916848580042,8.84499495665232,NA,5.64116669674714,5.48034227715598,6.07539074805048,27.2,19.4,19.4,21.7,NA,18.9,20.6,22.2,7,14,5,8,NA,9,7,7,6,6,9
"37",18,"0","0","0","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0",1,1,1,1,NA,1,1,1,154,266,166,228,NA,167,238,247,12.0039173028866,10.2685814013084,8.69583515246709,10.2949949566523,NA,5.87872510307365,6.71367561048932,5.16466067665153,26.7,17.8,18.3,17.2,NA,18.9,21.1,20,0,11,3,0,NA,7,6,15,6,6,9
"39",19,"0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","0","0","0","0","0","0",NA,NA,NA,1,1,1,1,1,1,1,NA,190,266,166,224,237,139,244,NA,6.83210195163886,9.33524806797504,6.12916848580043,7.74251064724392,9.49571295539538,11.0148612787988,4.85872408138381,NA,27.2,18.9,18.9,26.1,22.8,23.3,20.6,NA,9,10,0,9,3,17,7,NA,6,9,6
"41",20,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3",NA,NA,NA,1,1,1,0,1,1,0,NA,195,267,172,224,257,164,234,NA,10.2758978574806,8.08132725159327,10.2493313066165,9.95917731391059,9.67391217211882,5.61143591827816,5.52819161156813,NA,21.7,26.7,25.6,26.1,28.3,18.3,23.9,NA,10,9,20,6,21,9,16,NA,6,9,6
"43",21,"0","0","1","0","0","0","0","0","0","0","0","0",NA,NA,NA,"0","0","0","0","0","0","0","0","0",1,1,1,1,NA,1,0,0,176,259,140,226,NA,158,229,237,10.2933036358489,7.57833751532767,7.78525692224503,4.58546987169319,NA,12.3925045037932,9.69630486375756,6.05063282602363,28.3,23.3,20,28.3,NA,21.7,27.2,20,10,0,11,10,NA,13,3,15,6,6,9
